----------------------------------------------------------------
[RUNNING] Scenario: semi
          Run Name: semi_20251208_165803
          Start   : 20251208_165803
----------------------------------------------------------------
2025-12-08 16:58:05,812 - INFO - Args: {'scenario': 'semi', 'seed': 0, 'batch_size_images': 16, 'event_batch_size': 65536, 'events_per_image': 4096, 'run_name': 'semi_20251208_165803', 'log_interval': 125, 'num_epochs': 30, 'T_unsup1': 100, 'T_unsup2': 100, 'T_semi': 80, 'T_sup': 100, 'spike_array_len': 20, 'sigma_unsup1': 0.1, 'sigma_unsup2': 0.1, 'sigma_semi': 0.1, 'sigma_sup': 0.1, 'N_E': 100, 'N_hidden': 300, 'dt': 1.0, 'layer_index_scale': 1.0, 'lr_actor': 0.001, 'lr_critic': 0.001, 'ppo_eps': 0.2, 'ppo_epochs': 2, 'ppo_batch_size': 4096, 'exc_clip_min': 0.0, 'exc_clip_max': 1.0, 'w_clip_min': -1.0, 'w_clip_max': 1.0, 'inh_clip_min': 0.0, 'inh_clip_max': 1.0, 'local_lr': 0.01, 'rho_target': 0.1, 'alpha_sparse': 1.0, 'alpha_div': 0.1, 'alpha_stab': 0.1, 'beta_margin': 0.5, 'alpha_align': 0.1, 'max_rate': 0.25, 'sup_input_encoding': 'poisson', 'log_gradient_stats': False, 'result_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803', 'log_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803'}
2025-12-08 16:58:05,813 - INFO - Starting scenario: semi
2025-12-08 16:58:05,813 - INFO - Results will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803
2025-12-08 16:58:05,813 - INFO - Logs will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/semi/semi_20251208_165803
2025-12-08 17:16:59,571 - INFO - Epoch 2 | Batch 1625/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:17:27,849 - INFO - Epoch 2 | Batch 1750/3375 | Acc 0.0000 | Reward -1.0000
2025-12-08 17:17:56,023 - INFO - Epoch 2 | Batch 1875/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:18:24,346 - INFO - Epoch 2 | Batch 2000/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:18:52,446 - INFO - Epoch 2 | Batch 2125/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:19:20,566 - INFO - Epoch 2 | Batch 2250/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:19:48,663 - INFO - Epoch 2 | Batch 2375/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:20:16,793 - INFO - Epoch 2 | Batch 2500/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:20:45,154 - INFO - Epoch 2 | Batch 2625/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:21:12,792 - INFO - Epoch 2 | Batch 2750/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:21:40,984 - INFO - Epoch 2 | Batch 2875/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:22:09,270 - INFO - Epoch 2 | Batch 3000/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:22:37,392 - INFO - Epoch 2 | Batch 3125/3375 | Acc 0.1250 | Reward -0.7500
2025-12-08 17:23:05,562 - INFO - Epoch 2 | Batch 3250/3375 | Acc 0.0625 | Reward -0.8750
2025-12-08 17:23:33,753 - INFO - Epoch 2 | Batch 3375/3375 | Acc 0.1250 | Reward -0.7500
