2025-12-09 14:51:53,880 - INFO - Args: {'scenario': 'grad', 'seed': 0, 'batch_size_images': 16, 'event_batch_size': 16284, 'events_per_image': 1024, 'run_name': 'grad_direct_20251209_145151', 'log_interval': 125, 'num_epochs': 15, 'T_unsup1': 100, 'T_unsup2': 100, 'T_semi': 100, 'T_sup': 15, 'spike_array_len': 5, 'sigma_unsup1': 0.1, 'sigma_unsup2': 0.1, 'sigma_semi': 0.1, 'sigma_sup': 0.1, 'N_E': 100, 'N_hidden': 256, 'dt': 1.0, 'layer_index_scale': 1.0, 'lr_actor': 0.001, 'lr_critic': 0.001, 'ppo_eps': 0.2, 'ppo_epochs': 2, 'ppo_batch_size': 1024, 'exc_clip_min': 0.0, 'exc_clip_max': 1.0, 'w_clip_min': -1.0, 'w_clip_max': 1.0, 'inh_clip_min': 0.0, 'inh_clip_max': 1.0, 'local_lr': 0.01, 'rho_target': 0.1, 'alpha_sparse': 1.0, 'alpha_div': 0.1, 'alpha_stab': 0.1, 'beta_margin': 0.5, 'alpha_align': 0.1, 'max_rate': 0.25, 'sup_input_encoding': 'direct', 'log_gradient_stats': False, 'result_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/grad/grad_direct_20251209_145151', 'log_dir': '/home/yongokhan/바탕화면/snn/RL_SNN/results/grad/grad_direct_20251209_145151'}
2025-12-09 14:51:53,881 - INFO - Starting scenario: grad
2025-12-09 14:51:53,881 - INFO - Results will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/grad/grad_direct_20251209_145151
2025-12-09 14:51:53,881 - INFO - Logs will be saved to: /home/yongokhan/바탕화면/snn/RL_SNN/results/grad/grad_direct_20251209_145151
2025-12-09 15:31:22,536 - INFO - Epoch 2 | Batch 2625/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0041
2025-12-09 15:32:22,980 - INFO - Epoch 2 | Batch 2750/3375 | Acc 0.0000 | Reward -0.0000 | Active 0.0042
2025-12-09 15:33:23,543 - INFO - Epoch 2 | Batch 2875/3375 | Acc 0.1875 | Reward -0.0000 | Active 0.0041
2025-12-09 15:34:24,153 - INFO - Epoch 2 | Batch 3000/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0042
2025-12-09 15:35:24,530 - INFO - Epoch 2 | Batch 3125/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0041
2025-12-09 15:36:24,685 - INFO - Epoch 2 | Batch 3250/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0041
2025-12-09 15:37:25,473 - INFO - Epoch 2 | Batch 3375/3375 | Acc 0.1875 | Reward -0.0000 | Active 0.0041
2025-12-09 15:38:37,754 - INFO - Epoch 3 | Batch 125/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0041
2025-12-09 15:39:38,172 - INFO - Epoch 3 | Batch 250/3375 | Acc 0.1250 | Reward -0.0000 | Active 0.0041
2025-12-09 15:40:38,609 - INFO - Epoch 3 | Batch 375/3375 | Acc 0.1875 | Reward -0.0000 | Active 0.0041
2025-12-09 15:41:39,149 - INFO - Epoch 3 | Batch 500/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0041
2025-12-09 15:42:39,804 - INFO - Epoch 3 | Batch 625/3375 | Acc 0.0625 | Reward -0.0000 | Active 0.0041
